County,2020_Population,Index_Crime_Count,Index_Crime_Rate,Violent_Crime_Count,Violent_Crime_Rate,Property_Crime_Count,Property_Crime_Rate,Violent_Crime_With_Firearm_Count,Violent_Crime_With_Firearm_Rate
Albany,303723.00,7412.00,2440.40,1115.00,367.10,6297.00,2073.30,238.00,78.40
Allegany,45491.00,401.00,881.50,73.00,160.50,328.00,721.00,9.00,19.80
Bronx,1413534.00,36217.00,2562.20,13129.00,928.80,23088.00,1633.40,1802.00,127.50
Broome,188206.00,5180.00,2752.30,660.00,350.70,4520.00,2401.60,92.00,48.90
Cattaraugus,73437.00,868.00,1182.00,125.00,170.20,743.00,1011.80,12.00,16.30
Cayuga,75732.00,1207.00,1593.80,199.00,262.80,1008.00,1331.00,9.00,11.90
Chautauqua,125262.00,2921.00,2331.90,392.00,312.90,2529.00,2019.00,43.00,34.30
Chemung,82347.00,1503.00,1825.20,172.00,208.90,1331.00,1616.30,20.00,24.30
Chenango,46567.00,785.00,1685.70,113.00,242.70,672.00,1443.10,13.00,27.90
Clinton,79798.00,1139.00,1427.40,128.00,160.40,1011.00,1266.90,8.00,10.00
Columbia,58702.00,723.00,1231.60,94.00,160.10,629.00,1071.50,11.00,18.70
Cortland,47095.00,862.00,1830.30,97.00,206.00,765.00,1624.40,11.00,23.40
Delaware,42703.00,460.00,1077.20,68.00,159.20,392.00,918.00,8.00,18.70
Dutchess,291964.00,3696.00,1265.90,567.00,194.20,3129.00,1071.70,93.00,31.90
Erie,912816.00,21691.00,2376.30,3671.00,402.20,18020.00,1974.10,1193.00,130.70
Essex,34881.00,312.00,894.50,60.00,172.00,252.00,722.50,7.00,20.10
Franklin,49529.00,646.00,1304.30,78.00,157.50,568.00,1146.80,4.00,8.10
Fulton,52698.00,958.00,1817.90,113.00,214.40,845.00,1603.50,7.00,13.30
Genesee,56509.00,822.00,1454.60,103.00,182.30,719.00,1272.40,8.00,14.20
Greene,46678.00,549.00,1176.10,192.00,411.30,357.00,764.80,6.00,12.90
Hamilton,4342.00,46.00,1059.40,7.00,161.20,39.00,898.20,0.00,0.00
Herkimer,60592.00,900.00,1485.30,106.00,174.90,794.00,1310.40,7.00,11.60
Jefferson,108426.00,2054.00,1894.40,278.00,256.40,1776.00,1638.00,30.00,27.70
Kings,2551468.00,50938.00,1996.40,14590.00,571.80,36348.00,1424.60,2336.00,91.60
Lewis,26044.00,144.00,552.90,23.00,88.30,121.00,464.60,3.00,11.50
Livingston,62263.00,566.00,909.00,52.00,83.50,514.00,825.50,2.00,3.20
Madison,70220.00,954.00,1358.60,134.00,190.80,820.00,1167.80,8.00,11.40
Monroe,736749.00,15146.00,2055.80,2222.00,301.60,12924.00,1754.20,792.00,107.50
Montgomery,48790.00,761.00,1559.70,67.00,137.30,694.00,1422.40,8.00,16.40
Nassau,1349999.00,12237.00,906.40,1826.00,135.30,10411.00,771.20,285.00,21.10
New York,1623340.00,47676.00,2936.90,9264.00,570.70,38412.00,2366.20,898.00,55.30
Niagara,207172.00,4744.00,2289.90,653.00,315.20,4091.00,1974.70,152.00,73.40
Oneida,226556.00,4452.00,1965.10,556.00,245.40,3896.00,1719.70,135.00,59.60
Onondaga,456836.00,9983.00,2185.20,1619.00,354.40,8364.00,1830.90,366.00,80.10
Ontario,109258.00,1514.00,1385.70,168.00,153.80,1346.00,1231.90,10.00,9.20
Orange,383786.00,4818.00,1255.40,667.00,173.80,4151.00,1081.60,104.00,27.10
Orleans,39829.00,461.00,1157.40,63.00,158.20,398.00,999.30,5.00,12.60
Oswego,115839.00,1799.00,1553.00,195.00,168.30,1604.00,1384.70,17.00,14.70
Otsego,58818.00,637.00,1083.00,75.00,127.50,562.00,955.50,3.00,5.10
Putnam,97548.00,398.00,408.00,37.00,37.90,361.00,370.10,3.00,3.10
Queens,2246431.00,37446.00,1666.90,9629.00,428.60,27817.00,1238.30,1240.00,55.20
Rensselaer,157637.00,3184.00,2019.80,455.00,288.60,2729.00,1731.20,116.00,73.60
Richmond,465604.00,5042.00,1082.90,1347.00,289.30,3695.00,793.60,166.00,35.70
Rockland,325221.00,2735.00,841.00,340.00,104.50,2395.00,736.40,31.00,9.50
St Lawrence,106616.00,1127.00,1057.10,136.00,127.60,991.00,929.50,12.00,11.30
Saratoga,229506.00,2213.00,964.20,219.00,95.40,1994.00,868.80,15.00,6.50
Schenectady,154361.00,3829.00,2480.50,556.00,360.20,3273.00,2120.40,123.00,79.70
Schoharie,30621.00,315.00,1028.70,43.00,140.40,272.00,888.30,3.00,9.80
Schuyler,17637.00,49.00,277.80,10.00,56.70,39.00,221.10,2.00,11.30
Seneca,33665.00,438.00,1301.10,55.00,163.40,383.00,1137.70,5.00,14.90
Steuben,94382.00,863.00,914.40,117.00,124.00,746.00,790.40,4.00,4.20
Suffolk,1465277.00,18118.00,1236.50,1318.00,89.90,16800.00,1146.50,281.00,19.20
Sullivan,74732.00,847.00,1133.40,146.00,195.40,701.00,938.00,16.00,21.40
Tioga,47597.00,430.00,903.40,59.00,124.00,371.00,779.50,8.00,16.80
Tompkins,101580.00,2126.00,2092.90,168.00,165.40,1958.00,1927.50,29.00,28.50
Ulster,175918.00,1859.00,1056.70,222.00,126.20,1637.00,930.50,36.00,20.50
Warren,63351.00,739.00,1166.50,77.00,121.50,662.00,1045.00,2.00,3.20
Washington,60583.00,350.00,577.70,79.00,130.40,271.00,447.30,2.00,3.30
Wayne,88933.00,1332.00,1497.80,170.00,191.20,1162.00,1306.60,16.00,18.00
Westchester,963247.00,10306.00,1069.90,1585.00,164.50,8721.00,905.40,229.00,23.80
Wyoming,39363.00,304.00,772.30,45.00,114.30,259.00,658.00,2.00,5.10
Yates,24704.00,221.00,894.60,16.00,64.80,205.00,829.80,3.00,12.10
