	Longitude1	Latitude1	Campus Name	Long Campus Name	Address 1	Address 2	City	State	Zip	County	Institution Level	Institution Type	Enrollment As Of	Undergraduate Enrollment	Graduate Enrollment	Program 1	Program 2	Program 3	Program 4	Program 5	Campus Website
0	-73.656311	43.3507652	Adirondack	ADIRONDACK COMMUNITY COLLEGE	640 BAY RD	 	QUEENSBURY	NY	12804	Warren	2-year	Community Colleges	Fall 2018	3,727	0	Liberal Arts & Sciences: Humanities & Social Science	Liberal Arts & Sciences: Math & Science	Business-Business Administration	Nursing	Criminal Justice: Police	http://www.sunyacc.edu
1	-77.95098109999999	43.2119102	Brockport	STATE UNIVERSITY COLLEGE AT BROCKPORT	 350 NEW CAMPUS DR	 	BROCKPORT	NY	14420	Monroe	4-year	Comprehensive Colleges	Fall 2018	7,057	1,230	Nursing	Business Administration	Psychology	Health Science	Criminal Justice	http://www.brockport.edu/
2	-76.5238113	42.9488068	Cayuga County	CAYUGA COUNTY COMMUNITY COLLEGE	197 FRANKLIN ST	 	AUBURN	NY	13021	Cayuga	2-year	Community Colleges	Fall 2018	3,775	0	Liberal Arts & Sciences: Humanities & Social Science	Lib Arts & Sci--Math & Science	Bus--Business Administration	Health Sciences	Business: Business Administration	http://www.cayuga-cc.edu/
3	-75.2718658	43.0969925	SUNY POLY	STATE UNIVERSITY OF NEW YORK INSTITUTE OF TECHNOLOGY AT UTICA / ROME	100 SEYMOUR RD		UTICA	NY	13504	Oneida	4-year	Technology Colleges	Fall 2018	2,256	767	Computer & Information Science	Family Nurse Practitioner	Business Administration	Mechanical Engineering Technology	Network & Computer Security	http://www.sunyit.edu
4	-73.57421109999999	40.7985573	Old Westbury	STATE UNIVERSITY COLLEGE AT OLD WESTBURY	PO BOX 210	 	OLD WESTBURY	NY	11568	Nassau	4-year	Comprehensive Colleges	Fall 2018	4,784	303	Psychology	Biological Sciences	Accounting	Criminology	Business Administration	http://www.oldwestbury.edu
5	-73.98513790000001	40.758503000000005	Fashion Institute	FASHION INSTITUTE OF TECHNOLOGY	SEVENTH AVE AT 27 ST	 	NEW YORK	NY	10001	New York	4-year	Community Colleges	Fall 2018	8,555	212	Fashion Business Management	Advertising & Marketing Communications	Fashion Design	Illustration	International Trade & Marketing For The Fashion Industries	http://www.fitnyc.edu
6	-75.64119720000001	42.8959999	Morrisville	STATE UNIVERSITY OF NEW YORK COLLEGE OF AGRICULTURE AND TECHNOLOGY AT MORRISVILLE	80 EASTON ST	 	MORRISVILLE	NY	13408	Madison	4-year	Technology Colleges	Fall 2018	2,986	0	Nursing	Individual Studies	Criminal Justice	Automotive Technology	Agriculture: Animal Science - Equine Science & Management	http://www.morrisville.edu
7	-77.2724304	42.876785299999995	Finger Lakes	FINGER LAKES COMMUNITY COLLEGE	3325 MARVIN SANDS DR	 	CANANDAIGUA	NY	14424	Ontario	2-year	Community Colleges	Fall 2018	5,944	0	Liberal Arts & Sciences	Health Care Studies	Business: Business Administration	Human Services	Business-Business Administration	http://www.flcc.edu
8	-73.9524078	42.8150826	Schenectady County	SCHENECTADY COUNTY COMMUNITY COLLEGE	78 WASHINGTON AVE	 	SCHENECTADY	NY	12305	Schenectady	2-year	Community Colleges	Fall 2018	5,231	0	Business: Business Administration	Hotel Technology, Culinary Arts	Criminal Justice	Liberal Arts & Sciences: Humanities & Social Science	Health Studies	http://www.sunysccc.edu
9	-76.4746933	42.445835100000004	Cornell Statutory	CORNELL STATUTORY COLLEGES	DAY HALL	 	ITHACA	NY	14853	Tompkins	4-year	Doctoral Degree Granting Institutions	Fall 2018	5,968	2,215	Nys College Of Agriculture And Life Sciences	Nys College Of Human Ecology	Nys School Of Industrial And Labor Relations 	Nys College Of Veterinary Medicine 		http://www.cornell.edu
